Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Amount_USD
Unicommerce,SaaS,New Delhi,Rs 124.5 crore,-,Anchor investors,1494000000.0
Banana Club,Consumer > Fashion Tech,Karnataka,$1.39M,Seed,-,1390000.0
Neulife,HealthTech > Fitness & Wellness Tech,Maharashtra,$1M,Unattributed,Subhkam Ventures,1000000.0
Dhobi G,Consumer > Local Services,Tamil Nadu,$171K,Conventional Debt,Indian Overseas Bank,171000.0
Helex,Life Sciences > Genomics,Telangana,Undisclosed,Seed,Bluehill Capital Trust,
Michezo Sports,Consumer > Sports Services,Karnataka,$2.5M,Seed,Centre Court Capital,2500000.0
Celewish,Consumer > Communication Apps,Maharashtra,$750K,Angel,-,750000.0
Megaliter Varunaa,Environment > Waste & Water Management,Telangana,$1.71M,Seed,-,1710000.0
The Eye Foundation,Healthcare > Hospital Chains,Tamil Nadu,$75M,Series C,Verlinvest,75000000.0
Wonderland Foods,Food & Agriculture > Food & Beverage Products,Delhi,$16M,Series B,Asha,16000000.0
CapitalXB Finance,Financial Services > Consumer and SME Loans,Maharashtra,Undisclosed,Conventional Debt,Nicolas Walewski,
CapitalXB Finance,Financial Services > Consumer and SME Loans,Maharashtra,$15M,Seed,Nicolas Walewski,15000000.0
Berar Finance,Financial Services > Consumer and SME Loans,Maharashtra,$17M,PE,Abler Nordic,17000000.0
Uniphore,High Tech > Generative AI,California / Tamil Nadu,$260M,Series F,New Enterprise Associates,260000000.0
Umagine,Environment > Environment Consultancy Services,Delhi,$850K,Seed,Venture Catalysts,850000.0
Stylox,Consumer Goods > Apparel Brands,Haryana,$340K,Seed,thefef.net,340000.0
Fundamento,Enterprise Applications > Customer Service Software,California / Delhi,$1.9M,Seed,The Players Fund,1900000.0
Imagimake,Retail > Mom & Baby Care,Maharashtra,Undisclosed,Series B,Pidilite Ventures,
EKA,Energy Tech > Electric Vehicles,Maharashtra,$57M,Series A,NIIF,57000000.0
HooLiv,Consumer > Residential Real Estate Tech,Delhi,$2.73M,Seed,Negen Capital PMS,2730000.0
Healing Hands Clinic,Healthcare > Clinic Chains,Maharashtra,Undisclosed,PE,L Catterton,
Kraya,Enterprise Applications > SCM Software,Maharashtra,$113K,Seed,AID,113000.0
Zepto,Food and Agriculture Tech > Online Grocery,Karnataka,$300M,Series G,Goodwater Capital,300000000.0
DashamLabs,High Tech > Advanced Materials,Haryana,$1.36M,Seed,Speciale Invest,1360000.0
Kuku FM,Consumer > Vernacular Platforms,Maharashtra,$50M,Series C,Granite Asia,50000000.0
CoreStack,Enterprise Infrastructure > IT Operations,Washington / Tamil Nadu,$50M,Convertible Debt,Post Road Group,50000000.0
Thefragaria,Food and Agriculture Tech > Crop Tech,Tamil Nadu,$2M,Seed,WEH Ventures,2000000.0
Flowatt Batt,Energy Tech > Energy Storage Tech,Karnataka,$248K,Seed,PedalStart,248000.0
CoinDCX,FinTech > Cryptocurrencies,Maharashtra,Undisclosed,Series D,Coinbase,
Matters,Enterprise Infrastructure > Cybersecurity,Karnataka,$4.75M,Seed,Kalaari Capital,4750000.0
Airoclip,Mobile > Mobile Gaming,Karnataka,$2.75M,Seed,TAC,2750000.0
Airbound,High Tech > Drones,Karnataka,$8.65M,Seed,Humba Ventures,8650000.0
CIMCON,Energy > Oilfield Services,Gujarat,$5.86M,Series A,Niveshaay,5860000.0
HouseEazy,Consumer > Residential Real Estate Tech,Uttar Pradesh,$17M,Series B,Accel,17000000.0
SpeakX,EdTech > Continued Learning,Haryana,$16M,Series B,WestBridge Capital,16000000.0
Reia Diamonds,Consumer Goods > Fashion Accessories,Karnataka,$225K,Seed,Venture Catalysts,225000.0
MyWonder,Real Estate & Construction > Construction Management Services,Karnataka,$300K,Seed,Antler,300000.0
Ramkrishna Forgings,Auto > Auto Components,West Bengal,$23.1M,Post IPO,-,23100000.0
Exposome,Chemicals & Materials Tech > Chemicals Tech,Maharashtra,$2.59M,Seed,Colossa Ventures,2590000.0
GoodScore,FinTech > Alternative Lending,Karnataka,$13M,Series A,Peak XV Partners,13000000.0
Onida,Consumer Goods > TV & Audiovisual Products,Maharashtra,$14.8M,Post IPO,Authum,14800000.0
FS Life,Consumer > Fashion Tech,Haryana,$5.6M,Series B,Colossa Ventures,5600000.0
Hunger,Food & Agriculture > Food Service Chains,Maharashtra,Undisclosed,Series A,Lighthouse,
Hala Mobility,Consumer > Auto E-Commerce & Content,Telangana,$3.38M,Series A,Magnifiq Capital Trust,3380000.0
Qapita,FinTech > Investment Tech,Singapore / Telangana,$26.5M,Series B,MassMutual Ventures,26500000.0
Pantherun,Enterprise Infrastructure > Enterprise Networking,Karnataka,$12M,Series A,Info Edge Ventures,12000000.0
We360.ai,Enterprise Applications > HRTech,Madhya Pradesh,$2M,Seed,GSF,2000000.0
Ask My Guru,Consumer > Religion Tech,Karnataka,$500K,Seed,Matrimony.com,500000.0
Rusk Media,Media & Entertainment > Film & TV Studios,Maharashtra,Undisclosed,Series B,IvyCap Ventures Advisors,
FasTest,HealthTech > Healthcare Booking Platforms,Maharashtra,$135K,Seed,Inflection Point Ventures,135000.0
Ekkaa,Semiconductors > Display Technology,Haryana,$12.2M,Series A,-,12200000.0
